listing_id,product_name,wilaya,available_quantity_kg,quality_grade,price_dzd,seller_rating,days_listed,price_per_kg
L000,Potatoes,Oran,9505,Commercial,509,4.576874177358499,16,0.05355076275644398
L001,Tomatoes,Algiers,3266,Standard,624,4.657384574988904,28,0.19105939987752601
L002,Tomatoes,Blida,19121,Standard,349,3.7284215337092457,50,0.01825218346320799
L003,Tomatoes,Blida,209,Standard,419,3.3498295941703073,25,2.0047846889952154
L004,Potatoes,Algiers,10921,Commercial,447,4.578417178179811,5,0.04093031773647102
L005,Corn,Annaba,14643,Standard,878,4.048048992182736,57,0.059960390630335314
L006,Wheat,Blida,8121,Commercial,755,3.1307514677711037,30,0.09296884620120675
L007,Tomatoes,Annaba,58,Standard,432,3.095914167293512,3,7.448275862068965
L008,Carrots,Oran,15448,Standard,608,4.225452848385784,2,0.03935784567581564
L009,Wheat,Blida,6624,Standard,880,4.285015759574295,55,0.13285024154589373
L010,Corn,Constantine,14375,Standard,772,3.767296156797505,41,0.053704347826086955
L011,Corn,Blida,5947,Standard,728,4.71502409393267,12,0.12241466285522112
L012,Carrots,Oran,17480,Standard,945,4.981690178031524,46,0.05406178489702517
L013,Tomatoes,Blida,1361,Standard,855,4.6322590317353765,32,0.6282145481263777
L014,Carrots,Annaba,5447,Commercial,645,4.907639297738259,43,0.11841380576464108
L015,Potatoes,Algiers,17023,Standard,924,4.302517566939367,58,0.05427950420019973
L016,Wheat,Annaba,9429,Premium,631,4.384257527636915,28,0.06692120055149009
L017,Wheat,Annaba,1306,Premium,509,4.036955194075523,53,0.389739663093415
L018,Wheat,Constantine,5193,Standard,666,3.076152089076971,6,0.12824956672443674
L019,Carrots,Algiers,1357,Standard,608,3.053747232080347,34,0.44804716285924834
L020,Carrots,Blida,19742,Commercial,749,4.91825803289451,14,0.03793941849863236
L021,Corn,Oran,15354,Premium,433,3.565618266618767,43,0.02820112022925622
L022,Carrots,Oran,14084,Standard,401,3.584714820361591,32,0.028472024992899744
L023,Carrots,Constantine,9712,Commercial,480,3.1368583031415227,2,0.04942339373970346
L024,Corn,Constantine,15029,Standard,527,3.4671193702568095,1,0.035065539956084905
L025,Tomatoes,Oran,11517,Premium,610,4.496534729611136,20,0.052965181905009984
L026,Potatoes,Annaba,12336,Standard,709,3.8701883696251675,8,0.05747405966277561
L027,Carrots,Constantine,2830,Standard,907,4.54379572522261,50,0.3204946996466431
L028,Corn,Constantine,5046,Premium,664,4.199500737382395,16,0.13158937772493065
